SVI Theme: Socioeconomic Status; Below Poverty (Percentile); NaturalBreaks,,,,,
Data downloaded on 30-October-2023,,,,,
Year,County_FIPS,County,State,Obesity Percentage,Below Poverty
2018,17035,Cumberland County,Illinois,18.1,0.443
2018,20153,Rawlins County,Kansas,18.1,0.1392
2018,32009,Esmeralda County,Nevada,18.1,0.0567
2018,40057,Harmon County,Oklahoma,18.1,0.5602
2018,48011,Armstrong County,Texas,18.1,0.0592
2018,48065,Carson County,Texas,18.1,0.0357
2018,48095,Concho County,Texas,18.1,0.0592
2018,48103,Crane County,Texas,18.1,0.0672
2018,48163,Frio County,Texas,18.1,0.7968
2018,48229,Hudspeth County,Texas,18.1,0.958
2018,48247,Jim Hogg County,Texas,18.1,0.9513
2018,48311,Mcmullen County,Texas,18.1,0.3643
2018,48343,Morris County,Texas,18.1,0.6032
2018,48389,Reeves County,Texas,18.1,0.2854
2018,48415,Scurry County,Texas,18.1,0.443
2018,48433,Stonewall County,Texas,18.1,0.3908
2018,48461,Upton County,Texas,18.1,0.7545
2018,48495,Winkler County,Texas,18.1,0.6194
2018,48499,Wood County,Texas,18.1,0.4583
2018,8067,La Plata County,Colorado,18.2,0.1166
2018,17153,Pulaski County,Illinois,18.2,0.7417
2018,26083,Keweenaw County,Michigan,18.2,0.3127
2018,48069,Castro County,Texas,18.2,0.5602
2018,48101,Cottle County,Texas,18.2,0.9777
2018,48105,Crockett County,Texas,18.2,0.8153
2018,48127,Dimmit County,Texas,18.2,0.9697
2018,48155,Foard County,Texas,18.2,0.0462
2018,48243,Jeff Davis County,Texas,18.2,0.0382
2018,48269,King County,Texas,18.2,0.121
2018,48357,Ochiltree County,Texas,18.2,0.3245
2018,48421,Sherman County,Texas,18.2,0.5287
2018,48431,Sterling County,Texas,18.2,0.0013
2018,48445,Terry County,Texas,18.2,0.5602
2018,48483,Wheeler County,Texas,18.2,0.7083
2018,2230,Skagway Municipality,Alaska,18.3,0.0146
2018,8115,Sedgwick County,Colorado,18.3,0.6494
2018,13005,Bacon County,Georgia,18.3,0.9497
2018,13125,Glascock County,Georgia,18.3,0.7178
2018,13147,Hart County,Georgia,18.3,0.6745
2018,13263,Talbot County,Georgia,18.3,0.7494
2018,13317,Wilkes County,Georgia,18.3,0.8955
2018,22035,East Carroll Parish,Louisiana,18.3,0.999
2018,41069,Wheeler County,Oregon,18.3,0.7889
2018,48025,Bee County,Texas,18.3,0.8427
2018,48079,Cochran County,Texas,18.3,0.8955
2018,48081,Coke County,Texas,18.3,0.5675
2018,48083,Coleman County,Texas,18.3,0.7624
2018,48109,Culberson County,Texas,18.3,0.9777
2018,48129,Donley County,Texas,18.3,0.5076
2018,48137,Edwards County,Texas,18.3,0.0414
2018,48263,Kent County,Texas,18.3,0.2427
2018,48267,Kimble County,Texas,18.3,0.8306
2018,48279,Lamb County,Texas,18.3,0.8882
2018,48283,La Salle County,Texas,18.3,0.3194
2018,48359,Oldham County,Texas,18.3,0.3127
2018,48385,Real County,Texas,18.3,0.871
2018,48393,Roberts County,Texas,18.3,0.3245
